review_id,text,human_label
YFySoU9YzhWY7NGx1uvf5Q,"Absolutely love this place when in Philly. Not only are the beer and appetizers great, the atmosphere, with all of it's history, is amazing. Definitely a great place to add to your list.",Positive
CJ84uHzBB8BVnGOBCS2i0Q,This is One of my favorite breakfast places in the city. Even with its location the menu doesn't give overly hipster vibes. The staff is friendly and always remember me which makes you feel appreciated as opposed to just a customer.,Positive
FfIYtzGxzNFgXkqs-gpqxA,This place just doesnt get it. Pat's has died. Geno's had a nice long line and Pat's had no line yesterday at 6pm. We wanted to give Pat's another go to see if they pulled their heads out of their arses. Nope. They skimped out on the steak and hardly put any cheese on it. Next time we're going to John's Roast Pork or Tony Luke's.  RIP Pat's,Negative
IPT0OgJ6lhCfmIxHsBKGFw,Amazing food. I actually had a cheese hoagie and it was delicious. My partner had a cheesesteak and said it was the best he's ever had in his life!,Positive
Fg303MkNRI0ixwYULK3AgQ,Best cheesesteak in the city. No one else can compete with their rolls. Love this place and def worth the trip from Jersey.,Positive
iGTHADlIpq7Mx9QKKAyqvg,"Update to my earlier review:

I only made the initial review to warn others about the potential of not being reached out to and truly didn't think anyone would reach out to me. One of the dentists called me but I was in a meeting so I didn't answer and was reached out to via Yelp by a receptionist. In that initial message, they said they never got my online appointment request so I forwarded the confirmation to them saying it was sent. On the voicemail the dentist left, they said they have gotten 4 voicemails this year and mine was one of them... 4 voicemails and somehow I didn't get a call back? Upon review they said their web developer blocked certain email addresses so my message never made it to them or even went to their junk folder. In both the yelp message and voicemail they did apologize which was thoughtful but also felt like they were just trying to save themselves.

I did try to make an appointment but they were out of network for me so it did not happen. While I did appreciate their attempt to make things better, it just sounded like excuses to me about the situation so I'm only giving them 2 starts instead of making it 3 stars.",Neutral
pYPrqBptfb0thZJmhtCZcg,"Ah, Good King, what a lovely place. My boyfriend and I are big fans of their steak frites and mussels (and Negronis). Come here and you won't be disappointed.",Positive
aAU-can2UtqrDa2r5U4bfQ,My friends and I were super excited to try this place -- and it didnt disappoint! They have everything from Pork to Buffalo Chicken (my fav) to Falafel bao buns. Definitely worth the price & will be back again!,Positive
sXAC5C_MFlp8bCOcJC6UEg,"We went here for my birthday lunch and couldn't have picked a better place. Atmosphere was amazing, service was great, and food was perfect. We will definitely be back!",Positive
RLVvwodLl5XaYmt2IRqKBA,"To say I'm obsessed is an understatement! I live right around the corner and I could not be happier with my experiences here so far. The people who work there are so friendly, the coffee is fantastic, and the food is amazing. Even better- the prices are nothing outrageous. The ambiance is warm and welcoming with great soft folk music in the background. Definitely my new favorite coffee shop!!",Positive
EdV-eV5jbXYI1pvPOMOu_A,"There's not a lot of birria taco spots on the east coast in general so I was surprised how good the food was. We got the beef taco boxes and fiesta fries, and I would recommend both. The birria was thinner than what I was used to but the flavor in the tacos were still there. Everything came out very quickly. It's a small place with not that many tables but they have a huge bar area to sit at and some TV's to catch the game. The overall atmosphere of this place has a bar type feel, which is perfect if you're looking for a happy hour or a place with good eats and music. Between the music, art, food, & customer service I would deff recommend it.",Positive
nhtEXS79OvGvrmYG392stA,This place is a Hidden gem for tourists. We have tried other places for cheese steak but Jim is number one. The only thing is make sure you bring cash. We drove around looking for atms and it was so worth it!,Positive
RbyAsxfuYkSLJeuRwfMQOQ,Nasty. gave me days old chicken.  Not good at all. Will nevee order from here again. Ordered lo mein and it was so dry it was inedible.,Negative
CZ76DZ3iN8toAz84kU4ZSQ,The issue has been rectified.  The customer service was really polite and mystery is solved,Neutral
pZbdhuuXmVFosyLLnFjptw,It was my first time visiting and I was very pleased! The nail tech was very skilled and tailored my manicure to my needs. I will Definately be back!,Positive
gtq8ZTcCmMAO-Uy6Ob-MZA,"Drove from NY to see Emily King at Union Transfer. Came here based on the good reviews... Didn't disappoint. We would definitely come back. Ordered a wiz steak sandwich without. My husband ordered a provolone steak sandwich with.. We both enjoyed it!
Pay cash and it's slightly cheaper than if you use your card.",Positive
3vlcRwCMaM7Cv_yXgs50PQ,"They were super careful about following covid precautions, all staff wearing masks and gloves, with sanitizer available. They only allow a limited number of people in to pick up their orders at one time. Their food is always delicious! It's my favorite place for pho",Positive
wkQK29MAHSESZvJnR94JjQ,"The restaurant stretched themselves outrageously thin by adding more outdoor tables than their kitchen or staff could manage. We had a reservation but were sat outside far from the restaurant at an uncomfortably small table the edge of a closed street with pedestrian traffic crossing right next to us. 15 minutes passed before we were greeted, an hour passed before one of our appetizers was provided. Another 30-45 minutes passed without the second appetizer or main courses so we asked our server what the status was and if it wasn't being prepared soon could we please pay for our appetizer and drinks and leave. The food came out about 5 minutes afterwards. The tofu scallop dish that took so long to come out was 3 bite-size pieces of unseasoned tofu that were slightly pan fried before being tossed on top of a bowl of bland tomato sauce. The chips were too burnt to eat. The rest of the food was okay, but overpriced for the quality/size/creativity ($9 for a few bites of fried potato balls). I do not blame our server as he was pleasant, but just faced with an unacceptably large section. Management needs to consider if maximizing the quantity of their sales is worth sacrificing the quality of their customers' experience. I'm truly disappointed as my partner and I were told that this was the best vegan restaurant in all of Philadelphia and expected it to be the highlight of our trip. We will not be returning or recommending this restaurant to friends.",Negative
HUykKOJo9mFBlpQS9NVDoA,Gel manicure completely lifted and peeled off within one day. Sloppy work. Don't waste your money here. Seriously overpriced. There are better salons in the area for less money.,Negative
a0tde9h8AS94xSVzUje5dg,"The best Nashville hot chicken sandwich I've had outside of Nashville. I had it and tater tot's delivered and they were hot, perfectly cooked and very tasty. I've been looking for a place to have really good fried chicken products and now I've found it.",Positive
